Sample_ID,Date_Open,Total_Mass_Flux_g_m2_day ,Terrigenous_Flux_g_m2_day ,PON_Flux_mmoles_m2_day,POC_Flux_mmoles_m2_day,CaCO3_Flux_mmoles_m2_day,OPAL_Flux_mmoles_m2_day,TPP_Flux_umolesP_m2_day,PIP_Flux_umolesP_m2_day,POP_Flux_umolesP_m2_day
SBB 1-1,1993-08-12,2.74,1.86,0.88,8.35,2.07,15.03,148.19,123.89,24.30
SBB 1-2,1993-08-26,2.16,1.18,0.89,7.91,1.73,20.19,140.18,115.59,24.59
SBB 1-3,1993-09-09,1.89,1.24,0.69,6.48,1.64,10.47,99.23,81.07,18.17
SBB 1-4,1993-09-23,1.65,1.10,0.57,5.31,1.31,9.11,83.21,68.00,15.21
SBB 1-5,1993-10-07,1.48,1.00,0.50,4.81,1.12,7.71,73.95,61.43,12.51
SBB 1-6,1993-10-21,1.27,0.84,0.48,4.45,1.27,6.20,71.67,59.13,12.55
SBB 1-7,1993-11-04,1.82,1.37,0.50,4.99,1.34,6.17,100.48,86.31,14.17
SBB 1-8,1993-11-18,1.32,0.87,0.45,4.32,1.28,6.93,78.04,65.81,12.23
SBB 1-9,1993-12-02,2.44,1.75,0.73,6.98,2.69,7.65,201.99,184.50,17.49
SBB 1-10,1993-12-16,1.92,1.39,0.60,5.62,1.92,6.32,114.01,97.97,16.04
SBB 1-11,1993-12-30,1.28,0.80,0.49,4.49,1.47,6.87,77.63,65.25,12.38
SBB 1-12,1994-01-13,1.53,0.99,0.57,5.27,1.76,7.46,93.66,79.64,14.02
SBB 1-13,1994-01-27,1.37,0.85,0.50,4.54,1.83,7.29,93.66,80.38,13.28
SBB 2-1,1994-02-11,1.47,0.85,0.63,5.23,1.53,10.89,85.91,71.03,14.87
SBB 2-2,1994-02-25,0.81,0.44,0.36,2.99,1.20,5.76,60.79,52.39,8.40
SBB 2-3,1994-03-11,0.84,0.45,0.35,3.13,1.35,5.71,90.92,82.25,8.68
SBB 2-4,1994-03-25,0.98,0.52,0.44,3.68,1.24,8.05,107.94,96.81,11.14
SBB 2-5,1994-04-08,1.44,0.77,0.65,5.35,1.33,13.42,179.54,164.20,15.34
SBB 2-6,1994-04-22,1.55,0.79,0.74,6.05,0.87,17.58,237.17,222.03,15.14
SBB 2-7,1994-05-06,2.26,1.15,1.11,9.13,1.36,24.77,214.12,192.11,22.01
SBB 2-8,1994-05-20,2.16,1.44,0.86,7.29,1.88,11.11,164.44,147.65,16.79
SBB 2-9,1994-06-03,2.18,1.25,1.04,8.67,1.70,17.76,144.94,122.82,22.12
SBB 2-10,1994-06-17,3.55,1.91,1.83,15.04,2.19,34.73,205.16,168.92,36.24
SBB 2-11,1994-07-01,2.45,1.43,1.08,9.00,1.79,20.40,131.21,109.89,21.33
SBB 2-12,1994-07-15,1.65,0.93,0.81,6.61,1.07,14.75,96.43,80.22,16.21
SBB 2-13,1994-07-29,2.31,1.34,1.13,9.60,1.36,19.63,128.84,107.26,21.58
SBB 3-1,1994-08-23,1.95,1.24,0.90,7.37,1.36,12.53,108.89,90.59,18.30
SBB 3-2,1994-09-06,2.07,1.42,0.78,6.63,1.37,10.88,107.28,91.14,16.14
SBB 3-3,1994-09-20,1.52,0.96,0.60,5.23,1.87,7.72,78.46,66.95,11.50
SBB 3-4,1994-10-04,1.70,1.16,0.63,5.59,1.56,7.50,95.23,81.52,13.71
SBB 3-5,1994-10-18,1.99,1.48,0.74,6.65,1.18,7.07,114.23,99.96,14.27
SBB 3-6,,,,,,,,,,
SBB 3-7,,,,,,,,,,
SBB 3-8,,,,,,,,,,
SBB 3-9,,,,,,,,,,
SBB 3-10,,,,,,,,,,
SBB 3-11,,,,,,,,,,
SBB 3-12,,,,,,,,,,
SBB 3-13,,,,,,,,,,
SBB 4-1,1995-02-21,2.29,1.77,0.62,5.87,1.46,6.91,171.33,154.29,17.04
SBB 4-2,1995-03-07,1.52,1.13,0.52,5.33,0.99,4.80,125.77,112.05,13.71
SBB 4-3,1995-03-21,2.50,1.90,0.74,6.66,1.38,9.28,203.20,181.46,21.74
SBB 4-4,1995-04-04,3.35,2.25,1.03,8.78,1.87,23.40,280.09,243.57,36.51
SBB 4-5,1995-04-18,2.38,1.51,0.96,7.77,1.35,17.84,241.79,213.80,27.98
SBB 4-6,1995-05-02,2.09,0.99,0.96,7.53,1.37,26.32,202.93,176.84,26.09
SBB 4-7,1995-05-16,,,,,,,,,
SBB 4-8,1995-05-30,,,,,,,,,
SBB 4-9,1995-06-13,,,,,,,,,
SBB 4-10,1995-06-27,,,,,,,,,
SBB 4-11,1995-07-11,,,,,,,,,
SBB 4-12,1995-07-25,,,,,,,,,
SBB 4-13,1995-08-08,,,,,,,,,
SBB 5-1,1995-08-26,2.21,1.26,1.25,9.69,1.86,16.86,125.00,94.40,30.60
