Sample_ID,Date_Open,Total_Mass_Flux_g_m2_day ,Terrigenous_Flux_g_m2_day ,PON_Flux_mmoles_m2_day,POC_Flux_mmoles_m2_day,CaCO3_Flux_mmoles_m2_day,OPAL_Flux_mmoles_m2_day,TPP_Flux_umolesP_m2_day,PIP_Flux_umolesP_m2_day,POP_Flux_umolesP_m2_day
SBB_32-1,2009-09-25,0.658,0.604,0.36,3.21,0.545,3.16,37.18,25.84,11.35
SBB_32-2,2009-10-12,0.791,0.717,0.41,3.44,0.734,4.08,43.60,29.62,13.98
SBB_32-3,2009-10-29,0.464,0.422,0.53,3.17,0.422,2.22,17.44,18.54,-1.10
SBB_32-4,2009-11-15,0.259,0.231,0.35,2.10,0.281,2.06,13.86,9.02,4.84
SBB_32-5,2009-12-02,0.240,0.216,0.19,1.39,0.233,1.84,12.70,9.06,3.64
SBB_32-6,2009-12-19,0.211,0.188,0.11,0.90,0.236,0.80,11.44,8.21,3.22
SBB_32-7,2010-01-05,0.208,0.178,0.19,1.23,0.309,0.72,42.88,38.84,4.04
SBB_32-8,2010-01-22,0.248,0.219,0.15,1.13,0.293,0.97,13.96,10.95,3.00
SBB_32-9,2010-02-08,0.446,0.383,0.21,1.57,0.625,2.11,19.70,17.09,2.61
SBB_32-10,2010-02-25,0.769,0.670,0.29,2.53,0.991,3.80,51.48,26.71,24.77
SBB_32-11,2010-03-14,0.552,0.492,0.24,1.95,0.593,2.49,36.95,24.04,12.91
SBB_32-12,2010-03-31,0.184,0.166,0.20,1.24,0.171,2.41,14.97,7.43,7.54
SBB_32-13,2010-04-17,,,,,,,,,
SBB_33-1_T,2010-04-03,1.323,1.033,0.80,6.81,0.848,17.55,70.40,45.20,25.20
SBB_33-2_T,2010-04-17,0.266,0.149,0.24,1.98,0.575,2.29,33.08,26.41,6.67
SBB_33-3_T,2010-05-01,0.946,0.705,0.48,4.00,1.214,10.46,103.60,86.04,17.56
SBB_33-4_T,2010-05-15,0.326,0.224,0.25,1.98,0.422,6.08,49.76,42.62,7.14
SBB_33-5_T,2010-05-29,0.513,0.383,0.32,2.68,0.495,11.60,23.94,13.13,10.80
SBB_33-6_T,2010-06-12,0.491,0.389,0.26,2.18,0.361,7.92,19.50,11.55,7.95
SBB_33-7_T,2010-06-26,0.346,0.264,0.19,1.51,0.368,5.44,14.16,9.15,5.01
SBB_33-8_T,2010-07-10,0.585,0.447,0.31,2.85,0.528,8.81,29.88,13.62,16.27
SBB_33-9_T,2010-07-24,1.045,0.788,0.56,4.78,1.139,13.40,57.92,35.99,21.94
SBB_33-10_T,2010-08-07,0.659,0.509,0.41,3.55,0.425,7.15,37.48,23.52,13.96
SBB_33-11_T,2010-08-21,0.514,0.354,0.29,2.31,0.905,4.56,30.52,20.06,10.46
SBB_33-12_T,2010-09-04,0.749,0.569,0.38,3.39,0.790,5.41,43.22,30.31,12.91
SBB_33-13_T,2010-09-18,0.655,0.465,0.37,3.10,0.975,4.38,44.54,32.06,12.49
SBB_34-1,2010-10-08,0.398,0.276,1.22,2.29,0.535,1.02,46.09,44.53,1.56
SBB_34-2,2010-10-23,0.058,0.022,0.72,0.91,0.079,0.31,9.31,6.55,2.76
SBB_34-3,2010-11-07,0.255,0.151,0.94,1.97,0.455,1.31,18.68,12.85,5.82
SBB_34-4,2010-11-22,0.078,0.034,0.90,0.83,0.187,0.43,9.10,6.77,2.33
SBB_34-5,2010-12-07,0.109,0.043,1.34,1.03,0.351,1.41,10.03,5.48,4.55
SBB_34-6,2010-12-22,0.078,0.038,0.53,0.77,0.170,0.24,12.55,11.30,1.24
SBB_34-7,2011-01-06,0.281,0.183,0.62,1.58,0.502,1.20,18.97,13.84,5.13
SBB_34-8,2011-01-21,0.119,0.062,1.02,0.96,0.285,0.69,9.30,5.46,3.83
SBB_34-9,2011-02-05,0.191,0.123,0.70,1.22,0.315,1.29,13.67,9.08,4.59
SBB_34-10,2011-02-20,0.175,0.099,0.38,1.10,0.429,1.18,14.51,9.28,5.23
SBB_34-11,2011-03-07,0.396,0.252,0.11,2.54,0.678,2.79,,,
SBB_34-12,2011-03-22,0.443,0.289,,2.07,0.913,3.21,,,
SBB_34-13,2011-04-06,0.630,0.418,0.13,3.19,1.161,5.41,,,
SBB_35-1,2011-05-06,1.660,1.222,0.57,6.11,,,75.23,53.89,21.34
SBB_35-2,2011-05-18,1.438,1.008,0.72,6.91,,,68.20,46.05,22.15
SBB_35-3,2011-05-30,3.054,2.462,1.21,12.11,,,186.65,161.02,25.63
SBB_35-4,2011-06-11,2.785,1.963,1.28,12.60,,,153.10,104.02,49.09
SBB_35-5,2011-06-23,0.775,0.524,0.65,5.29,,,129.87,129.82,0.05
SBB_35-6,2011-07-05,1.181,0.889,0.61,5.69,,,75.84,55.05,20.79
SBB_35-7,2011-07-17,1.190,0.874,0.72,6.47,,,73.44,51.88,21.56
SBB_35-8,2011-07-29,0.942,0.724,0.45,4.39,,,53.73,36.14,17.59
SBB_35-9,2011-08-10,1.199,0.945,0.56,5.42,,,66.80,43.68,23.12
SBB_35-10,2011-08-22,1.265,1.024,0.54,5.48,,,76.97,53.08,23.89
SBB_35-11,2011-09-03,1.039,0.818,0.55,5.03,,,87.46,43.99,43.47
SBB_35-12,2011-09-15,1.391,1.106,0.67,6.61,,,81.94,57.95,23.99
SBB_35-13,2011-09-27,1.837,1.497,0.74,7.74,,,105.74,80.97,24.77
SBB_36-1,2011-10-28,0.755,0.624,0.46,4.36,,,,,
SBB_36-2,2011-11-13,0.977,0.479,0.38,3.49,2.705,4.37,53.31,39.27,14.03
SBB_36-3,2011-11-29,0.789,0.447,0.35,3.19,1.363,3.89,48.21,27.37,20.84
SBB_36-4,2011-12-15,1.023,0.639,0.43,3.77,1.460,4.43,51.02,35.64,15.39
SBB_36-5,2011-12-31,0.549,0.326,0.25,2.11,0.987,2.14,32.36,20.61,11.74
SBB_36-6,2012-01-16,0.488,0.328,0.21,1.87,0.622,1.51,30.51,20.30,10.20
SBB_36-7,2012-02-01,0.541,0.375,0.29,2.57,0.892,0.00,,,
SBB_36-8,2012-02-17,0.217,0.115,0.16,1.30,0.345,1.02,13.46,8.72,4.75
SBB_36-9,2012-03-04,0.228,0.142,0.14,1.17,0.286,0.80,13.38,8.83,4.55
SBB_36-10,2012-03-20,0.744,0.419,0.38,3.25,0.941,4.77,38.73,27.10,11.63
SBB_36-11,2012-04-05,0.860,0.408,0.37,3.00,0.913,9.60,43.77,26.72,17.04
SBB_36-12,2012-04-21,0.328,0.209,0.18,1.49,,,16.41,10.31,6.10
SBB_36-13,2012-05-07,1.074,0.932,0.60,4.73,,,,,
SBB_37-1,2012-06-22,0.163,0.103,0.11,0.95,0.171,0.49,8.29,4.84,3.45
SBB_37-2,2012-07-01,0.229,0.164,0.11,0.92,0.126,0.88,9.88,5.78,4.09
SBB_37-3,2012-07-11,0.237,0.144,0.14,1.15,0.171,1.46,10.75,6.57,4.19
SBB_37-4,2012-07-20,0.381,0.207,0.23,1.84,0.253,3.36,16.43,10.08,6.35
SBB_37-5,2012-07-30,0.427,0.252,0.27,2.15,0.272,2.95,19.83,13.76,6.07
SBB_37-6,2012-08-08,0.868,0.522,0.48,3.84,0.438,6.67,41.07,28.28,12.79
